kommune,klassetrin,skoleår,fravaer_pct,trivsel_score
Halsnæs,Mellemtrin,2021/2022,9.9,3.66956956956957
Halsnæs,Mellemtrin,2022/2023,8.1,3.5093593593593595
Halsnæs,Mellemtrin,2023/2024,8.5,3.5007492507492506
Halsnæs,Mellemtrin,2024/2025,8.6,3.6206499999999995
Halsnæs,Udskoling,2019/2020,6.1,3.6837
Halsnæs,Udskoling,2020/2021,7.0,3.6498498498498497
Halsnæs,Udskoling,2021/2022,10.3,3.557792207792208
Halsnæs,Udskoling,2022/2023,8.8,3.4793206793206792
Halsnæs,Udskoling,2023/2024,9.8,3.3822499999999995
Halsnæs,Udskoling,2024/2025,11.0,3.3914
Hedensted,Mellemtrin,2019/2020,4.4,3.87195
Hedensted,Mellemtrin,2020/2021,4.1,3.8187
Hedensted,Mellemtrin,2021/2022,6.6,3.7681181181181174
Hedensted,Mellemtrin,2022/2023,7.0,3.7177999999999995
Hedensted,Mellemtrin,2023/2024,7.3,3.6858
Hedensted,Mellemtrin,2024/2025,7.1,3.6968
Hedensted,Udskoling,2019/2020,4.9,3.711688311688311
Hedensted,Udskoling,2020/2021,4.5,3.74975
Hedensted,Udskoling,2021/2022,7.6,3.6398499999999996
Hedensted,Udskoling,2022/2023,8.6,3.5764235764235757
Hedensted,Udskoling,2023/2024,8.4,3.4853500000000004
Hedensted,Udskoling,2024/2025,8.0,3.52255
Helsingør,Mellemtrin,2019/2020,6.2,3.7779499999999997
Helsingør,Mellemtrin,2020/2021,6.0,3.772727272727272
Helsingør,Mellemtrin,2021/2022,10.2,3.719119119119119
Helsingør,Mellemtrin,2022/2023,8.7,3.648601398601399
Helsingør,Mellemtrin,2023/2024,9.2,3.6062499999999993
Helsingør,Mellemtrin,2024/2025,9.2,3.6917
Helsingør,Udskoling,2019/2020,6.3,3.6716783216783218
Helsingør,Udskoling,2020/2021,6.7,3.6817499999999996
Helsingør,Udskoling,2021/2022,10.2,3.6386999999999996
Helsingør,Udskoling,2022/2023,9.0,3.6127372627372623
Helsingør,Udskoling,2023/2024,10.1,3.583683683683684
Helsingør,Udskoling,2024/2025,10.0,3.5317499999999997
Herlev,Mellemtrin,2019/2020,4.5,3.640890890890891
Herlev,Mellemtrin,2020/2021,6.0,3.6828999999999996
Herlev,Mellemtrin,2021/2022,8.9,3.6325825825825833
Herlev,Mellemtrin,2022/2023,8.2,3.6247747747747754
Herlev,Mellemtrin,2023/2024,7.7,3.55735
Herlev,Mellemtrin,2024/2025,5.8,3.7016500000000003
Herlev,Udskoling,2019/2020,4.9,3.6668000000000003
Herlev,Udskoling,2020/2021,6.4,3.6074499999999996
Herlev,Udskoling,2021/2022,9.1,3.543693693693694
Herlev,Udskoling,2022/2023,9.3,3.548498498498499
Herlev,Udskoling,2023/2024,7.5,3.4584
Herlev,Udskoling,2024/2025,7.9,3.5175
Herning,Mellemtrin,2019/2020,3.8,3.9003003003003
Herning,Mellemtrin,2020/2021,3.8,3.8759
Herning,Mellemtrin,2021/2022,7.0,3.864264264264264
Herning,Mellemtrin,2022/2023,6.2,3.7860360360360357
Herning,Mellemtrin,2023/2024,6.1,3.7650650650650648
Herning,Mellemtrin,2024/2025,5.8,3.7777999999999996
Herning,Udskoling,2019/2020,4.0,3.7818999999999994
Herning,Udskoling,2020/2021,4.0,3.7598
Herning,Udskoling,2021/2022,7.1,3.7460960960960956
Herning,Udskoling,2022/2023,6.4,3.6708499999999993
Herning,Udskoling,2023/2024,6.7,3.604695304695304
Herning,Udskoling,2024/2025,6.6,3.6338
Hillerød,Mellemtrin,2019/2020,6.3,3.764785214785214
Hillerød,Mellemtrin,2020/2021,5.9,3.742507492507493
Hillerød,Mellemtrin,2021/2022,9.3,3.68275
Hillerød,Mellemtrin,2022/2023,7.5,3.65565
Hillerød,Mellemtrin,2023/2024,7.4,3.6157999999999997
Hillerød,Mellemtrin,2024/2025,8.8,3.6688188188188184
Hillerød,Udskoling,2019/2020,6.4,3.7197802197802186
Hillerød,Udskoling,2020/2021,6.0,3.65955
Hillerød,Udskoling,2021/2022,9.1,3.618568568568568
Hillerød,Udskoling,2022/2023,8.7,3.55775
Hillerød,Udskoling,2023/2024,8.6,3.5266233766233768
Hillerød,Udskoling,2024/2025,10.5,3.5054499999999997
Hjørring,Mellemtrin,2019/2020,5.4,3.777127127127127
Hjørring,Mellemtrin,2020/2021,5.4,3.7397500000000004
Hjørring,Mellemtrin,2021/2022,8.7,3.7777999999999996
